,lidar_loss,lidar_AvQ,lidar_MaxQ
1,19.783537198014777,0.9627687896727944,4.696321347957062
2,7.737558368598682,3.941873321649951,24.62582206894266
1,19.783537198014777,0.9627687896727944,4.696321347957062
2,7.737558368598682,3.941873321649951,24.62582206894266
3,11.588546674025764,9.50064438812379,40.011981521012366
4,27.2873828498013,14.958768619664461,53.54926536990329
5,51.89038159156903,19.371541767881606,62.09461244171395
6,76.48334643202053,23.781216769237126,67.69202395804061
7,92.00667735144003,27.84434191449992,68.83855517798327
8,100.0,31.95476235245026,68.43916072461789
9,99.65193059844299,35.41372904212645,68.06520473146608
10,94.89338607473239,39.158835027022185,68.5123814781252
11,83.86339053243861,42.400223288530825,70.66397256972523
12,77.50338119454611,45.73737797793348,73.77271620424915
13,72.03453936945394,48.93985510026581,74.68168634047213
14,63.740226763461536,51.77245708597581,75.6831014290613
15,57.0887603514384,54.992807014595556,76.98899656871494
16,54.85232967960304,57.55454244611814,77.9083071358038
17,49.38732267347546,60.042826034178596,79.28733550415697
18,44.55865187697597,63.5597102343536,81.13715356196272
19,40.50881222982265,66.13015482754433,80.66713284046448
20,39.45266625538053,68.37651079909624,81.38836226392918
21,36.39561682358912,71.12245451233397,82.47613307896957
22,35.144699418981595,73.43116977252917,83.15213093211106
23,33.14076006328535,75.93628508383784,83.92108638292166
24,29.54807633456304,78.8690001512477,84.66775426659994
25,31.21419684645721,82.04672909148542,85.45273300901223
26,30.26093559833196,84.98930538199768,86.52384910348026
27,28.212297311131103,86.85738885170232,86.15257512051072
28,28.494611483549548,88.84317283637843,88.92194756451282
29,29.95550960031762,92.06629194018878,91.57006063906239
30,29.43420171039425,95.04926436649674,94.73453256907504
31,28.266659119800718,97.44468546133349,96.93359961714148
32,29.800890024650084,100.0,100.0
33,31.33512092949945,102.55531453866651,103.06640038285852
34,32.86935183434882,105.11062907733302,106.13280076571704
35,34.403582739198185,107.66594361599952,109.19920114857555
36,35.93781364404755,110.22125815466603,112.26560153143407
37,37.47204454889692,112.77657269333254,115.33200191429259
38,39.006275453746284,115.33188723199905,118.39840229715111
39,40.54050635859565,117.88720177066556,121.46480268000963
40,42.074737263445016,120.44251630933206,124.53120306286814
41,43.60896816829438,122.99783084799857,127.59760344572666
42,45.14319907314375,125.55314538666508,130.66400382858518
43,46.677429977993114,128.1084599253316,133.7304042114437
44,48.21166088284248,130.6637744639981,136.79680459430222
45,49.745891787691846,133.2190890026646,139.86320497716073
46,51.28012269254121,135.7744035413311,142.92960536001925
47,52.81435359739058,138.32971807999763,145.99600574287777
48,54.348584502239945,140.88503261866413,149.0624061257363
49,55.88281540708931,143.44034715733062,152.1288065085948
50,57.41704631193868,145.99566169599714,155.19520689145332
51,58.95127721678804,148.55097623466366,158.26160727431184
52,60.48550812163741,151.10629077333016,161.32800765717036
53,62.019739026486775,153.66160531199665,164.39440804002888
54,63.55396993133614,156.21691985066317,167.4608084228874
55,65.08820083618551,158.7722343893297,170.52720880574591
56,66.62243174103487,161.3275489279962,173.59360918860443
57,68.15666264588424,163.88286346666268,176.66000957146295
58,69.6908935507336,166.4381780053292,179.72640995432147
59,71.22512445558297,168.99349254399573,182.79281033718
60,72.75935536043234,171.54880708266222,185.8592107200385
61,74.2935862652817,174.10412162132872,188.92561110289702
62,75.82781717013107,176.65943615999524,191.99201148575554
63,77.36204807498044,179.21475069866176,195.05841186861406
64,78.8962789798298,181.77006523732825,198.12481225147258
65,80.43050988467917,184.32537977599475,201.1912126343311
66,81.96474078952853,186.88069431466127,204.2576130171896
67,83.4989716943779,189.4360088533278,207.32401340004813
68,85.03320259922727,191.99132339199429,210.39041378290665
69,86.56743350407663,194.54663793066078,213.45681416576517
70,88.101664408926,197.1019524693273,216.52321454862368
71,89.63589531377536,199.65726700799382,219.5896149314822
72,91.17012621862473,202.21258154666032,222.65601531434072
73,92.7043571234741,204.7678960853268,225.72241569719924
74,94.23858802832346,207.32321062399333,228.78881608005776
75,95.77281893317283,209.87852516265986,231.85521646291627
76,97.3070498380222,212.43383970132635,234.9216168457748
77,98.84128074287156,214.98915423999284,237.9880172286333
78,100.37551164772093,217.54446877865936,241.05441761149183
79,101.9097425525703,220.0997833173259,244.12081799435035
80,103.44397345741966,222.65509785599238,247.18721837720886
81,104.97820436226903,225.21041239465887,250.25361876006738
82,106.51243526711839,227.76572693332542,253.3200191429259
83,108.04666617196776,230.32104147199192,256.3864195257844
84,109.58089707681712,232.8763560106584,259.45281990864294
85,111.11512798166649,235.4316705493249,262.5192202915015
