,camera_loss,camera_AvQ,camera_MaxQ
1,97.64124484616403,0.14480047660989792,0.20958840523574054
2,89.9916690537594,0.5118773907261333,0.4708308194584318
1,100.0,0.1349621385222863,0.1899827136504487
2,98.61554239995657,0.4615023289441954,0.42738320646425404
3,96.1083542863743,0.845615768908922,0.7198324245157399
4,39.548836368807464,2.1925003482148804,2.968424254311851
5,34.075450818984976,3.630455541150769,3.3501795220681356
6,45.595598783545235,4.061061138846666,3.812608392626278
7,35.569299216699434,5.165274738823312,5.8000163926238955
8,32.46161053664654,6.2941455528883665,6.37248981120483
9,32.57446997448376,6.74188894189105,6.783776748348798
10,24.48713582494066,8.739888763785157,11.064777871010206
11,25.23850893183714,10.899073352454485,11.481235906538414
12,27.03448608991017,11.264155497781129,11.927642004951942
13,23.368816516830577,11.91681577406421,13.480356602618274
14,22.155284810398896,12.693649399090589,13.855061105962974
15,24.136375132635564,13.08800469224404,14.235296009979741
16,23.52668400040488,13.715583403946807,15.269367994350056
17,23.74500207541782,14.277575823499078,15.575546911449944
18,19.801153770850984,14.794545844721164,16.046723148241647
19,26.27948466120301,14.961295935443367,16.45371397184738
20,20.485207757795592,15.371181146427423,16.73895406719268
21,20.73510066020376,15.669011624088178,17.217646485867245
22,26.75294517268638,16.135329384879384,17.70447440193979
23,24.2723839733211,16.531658672087794,18.07827909817335
24,20.597570408294434,16.844178615833037,18.482781489699306
25,24.925590571473105,17.229736339611758,18.792559635243762
26,20.307559710511374,17.694393577380335,19.191195284405076
27,24.204694480666056,17.9428198557482,19.672063374618716
28,30.106383903593446,18.406628877782243,19.996099429256695
29,24.573241933925686,18.77306972108182,20.35997646054953
30,21.369872899620837,19.638311882209734,23.974579816142473
31,18.794052728120974,22.128789738616014,27.518891481326257
32,21.47459522699145,23.672321101790704,28.190939416496064
33,19.353543943368372,24.16909795963937,28.558264260416145
34,21.24362016385288,24.224954033306577,28.84951879060364
35,22.71595367777433,24.49086093159476,29.34239465157632
36,19.23475188887861,25.005312509074162,29.82337816532284
