,camera_loss,camera_AvQ,camera_MaxQ
1,21497.1484375,2.276644229888916,5.153542995452881
2,19812.982421875,8.04805850982666,11.577199935913086
1,22016.462890625,2.121959686279297,4.67146110534668
2,21711.654296875,7.256030082702637,10.508872032165527
3,21159.66015625,13.295303344726562,17.69986915588379
4,8707.2548828125,34.47187042236328,72.9902114868164
5,7502.208984375,57.08030700683594,82.37714385986328
6,10038.5380859375,63.85055923461914,93.74774932861328
7,7831.1015625,81.21170043945312,142.61587524414062
8,7146.8984375,98.96051788330078,156.69235229492188
9,7171.74609375,106.0002212524414,166.80543518066406
10,5391.201171875,137.41403198242188,272.0704345703125
11,5556.626953125,171.36209106445312,282.3106689453125
12,5952.03759765625,177.10214233398438,293.28729248046875
13,5144.98681640625,187.36367797851562,331.466796875
14,4877.81005859375,199.57754516601562,340.68035888671875
15,5313.97607421875,205.77784729003906,350.0299072265625
16,5179.74365234375,215.64503479003906,375.4565734863281
17,5227.8095703125,224.4810333251953,382.98516845703125
18,4359.513671875,232.60916137695312,394.57086181640625
19,5785.81298828125,235.2309112548828,404.57830810546875
20,4510.1181640625,241.67538452148438,411.592041015625
21,4565.1357421875,246.35806274414062,423.362548828125
22,5890.05224609375,253.68980407714844,435.3330993652344
23,5343.92041015625,259.921142578125,444.5245361328125
24,4534.8564453125,264.83477783203125,454.4707946777344
25,5487.7333984375,270.8967590332031,462.087890625
26,4471.00634765625,278.202392578125,471.889892578125
27,5329.017578125,282.1083068847656,483.7138977050781
28,6628.36083984375,289.4006042480469,491.68157958984375
29,5410.15869140625,295.1620178222656,500.62890625
30,4704.89013671875,308.7658996582031,589.5079345703125
31,4137.78564453125,347.9227600097656,676.6585693359375
32,4727.9462890625,372.1911315917969,693.1834716796875
33,4260.9658203125,380.00177001953125,702.215576171875
34,4677.09375,380.8799743652344,709.377197265625
35,5001.24951171875,385.06072998046875,721.4964599609375
36,4234.81201171875,393.1492614746094,733.3233032226562
37,3622.872802734375,399.82635498046875,743.37353515625
38,3712.688232421875,403.8907165527344,752.9786376953125
39,4194.27685546875,406.4653625488281,768.6533203125
40,3726.91796875,414.1772155761719,777.0706176757812
41,4250.44921875,420.3992614746094,793.1600952148438
42,4664.80908203125,423.01141357421875,795.0999145507812
43,3853.12939453125,430.8170166015625,807.2606201171875
44,4476.2314453125,435.99139404296875,820.5245361328125
45,4455.43994140625,442.69097900390625,832.9602661132812
46,4540.34765625,446.31280517578125,844.5464477539062
47,4543.38427734375,450.5408630371094,857.27197265625
48,3837.8349609375,462.7496032714844,861.6926879882812
49,4912.4052734375,461.9091491699219,879.639892578125
50,3563.18212890625,465.947021484375,890.8189697265625
51,4755.0986328125,469.9329528808594,894.6370849609375
52,3512.442138671875,479.083740234375,900.4564819335938
53,4523.77978515625,478.1499328613281,921.3246459960938
54,4350.8115234375,487.4435729980469,924.2622680664062
55,4406.22802734375,495.00457763671875,942.7615966796875
56,4036.647216796875,500.03424072265625,951.7034912109375
57,4203.37744140625,500.3782958984375,958.1036376953125
58,4433.931640625,510.83026123046875,975.1436767578125
59,5351.67626953125,517.59765625,983.179443359375
60,5110.0263671875,523.3434448242188,997.0176391601562
61,5441.27294921875,526.8692016601562,1002.298095703125
62,5219.26953125,529.3007202148438,1007.8576049804688
63,5073.56396484375,553.6527099609375,1108.833984375
64,5040.93505859375,587.0553588867188,1180.98193359375
65,5484.62890625,604.4317626953125,1210.7431640625
66,5483.1982421875,613.7514038085938,1196.9195556640625
67,5624.787109375,617.6929931640625,1225.5179443359375
68,6494.5927734375,623.3840942382812,1218.1209716796875
69,6085.30029296875,627.551513671875,1243.189453125
70,6809.66796875,632.9479370117188,1247.1260986328125
71,5498.57470703125,638.6810302734375,1257.0926513671875
72,6830.6630859375,642.6829223632812,1267.798828125
73,4901.13330078125,647.2232055664062,1258.517333984375
74,5874.0078125,655.351318359375,1233.149658203125
75,6337.3017578125,655.51025390625,1292.3154296875
76,6077.5888671875,659.399169921875,1284.6988525390625
77,5702.42138671875,669.13232421875,1262.025390625
78,5536.2216796875,669.9969482421875,1295.45751953125
79,6441.98486328125,678.0081176757812,1325.706298828125
80,6407.8603515625,682.3182983398438,1344.3135986328125
81,6939.89306640625,685.7240600585938,1345.8433837890625
82,6721.5517578125,695.4605102539062,1335.7113037109375
83,6886.87841796875,710.2167358398438,1462.4173583984375
84,8390.4072265625,734.64013671875,1398.2630615234375
85,6830.95703125,746.0037841796875,1451.662841796875
86,6956.86962890625,735.4376831054688,1397.072021484375
87,7931.75146484375,745.30517578125,1489.6251220703125
88,8739.15625,755.0216674804688,1476.3616943359375
89,7783.90234375,751.9160766601562,1418.308349609375
90,7358.6826171875,765.3411254882812,1485.82275390625
91,8805.728515625,770.5267333984375,1526.343994140625
92,8945.55078125,772.218994140625,1435.5792236328125
93,7691.8203125,783.0487670898438,1679.35791015625
94,8575.51171875,810.816650390625,1773.606201171875
95,10288.162109375,833.9019775390625,1712.513671875
96,9112.1552734375,837.9547119140625,1848.1439208984375
97,11004.91796875,858.3189697265625,1826.984130859375
98,8358.19921875,863.3226318359375,1771.5367431640625
99,9890.078125,865.5195922851562,1880.33984375
100,9724.58984375,872.1533203125,1844.9517822265625
101,9983.6923828125,879.3973999023438,1898.339599609375
102,8820.8271484375,888.7784423828125,1785.85888671875
103,7838.2724609375,886.9782104492188,1919.244384765625
104,8874.9794921875,891.1902465820312,1920.4051513671875
105,9500.052734375,893.30712890625,1818.48876953125
106,9277.400390625,898.5488891601562,1833.6761474609375
107,9495.27734375,916.685302734375,1979.4769287109375
